Year,Category,Title,Winners
2012,Best Contemporary Classical Composition,"Hartke, Stephen: Meanwhile - Incidental Music To Imaginary Puppet Plays","Stephen Hartke, composer."
2012,Best Short Form Music Video,We Found Love,"Calvin Harris & Rihanna, artists. Melina Matsoukas, video director. Juliette Larthe, Candice Ouaknine, Ben Sullivan & Inga Veronique, video producers."
2012,Best Long Form Music Video,Big Easy Express,"Mumford & Sons (Ted Dwane, Ben Lovett, Marcus Mumford, Winston Marshall), Old Crow Medicine Show (Kevin Hayes, Morgan Jahnig, Gill Landry, Ketch Secor, Willie Watson, Cory Younts) & Edward Sharpe & The Magnetic Zeros (Alex Ebert), artists. Emmett Malloy, video director. Bryan Ling, Mike Luba & Tim Lynch, video producers."
2011,Record Of The Year,Rolling In The Deep,"Adele, artist. Mark Rankin & Tom Elmhirst, engineers/mixers. Paul Epworth, producer."
2011,Album Of The Year,21,"Adele, artist. Andrew Scheps, Beatriz Artola, Dan Parry, Fraser T. Smith, Greg Fidelman, Ian Dowling, Jim Abbiss, Mark Rankin, Philip Allen, Ryan Tedder, Steve Price & Tom Elmhirst, engineers/mixers. Tom Coyne, mastering engineer. Adele, Dan Wilson, Fraser T. Smith, Jim Abbiss, Paul Epworth, Rick Rubin & Ryan Tedder, producers."
2011,Song Of The Year,Rolling In The Deep,"Adele & Paul Epworth, songwriters."
2011,Best New Artist,,"Bon Iver (CJ Camerieri, Sean Carey, Mike Lewis, Matt McCaughan, Rob Moose, Mike Noyce, Colin Stetson, Justin Vernon), artist."
2011,Best Pop Solo Performance,Someone Like You,"Adele, artist."
2011,Best Pop Duo/Group Performance,Body And Soul,"Amy Winehouse & Tony Bennett, artists."
2011,Best Pop Instrumental Album,The Road From Memphis,"Booker T. Jones, artist. Gabriel Roth & Rob Schnapf, engineers/mixers. Ahmir ""?uestlove"" Thompson, Booker T. Jones & Rob Schnapf, producers."
2011,Best Pop Vocal Album,21,"Adele, artist."
2011,Best Dance Recording,Scary Monsters And Nice Sprites,"Skrillex, artist. Skrillex, mixer.Skrillex, producer."
2011,Best Dance/Electronica Album,Scary Monsters And Nice Sprites,"Skrillex, artist. Skrillex, engineer/mixer. Skrillex, producer."
2011,Best Traditional Pop Vocal Album,Duets II,"Tony Bennett, artist. Dae Bennett, engineer/mixer. Dae Bennett & Phil Ramone, producers."
2011,Best Rock Performance,Walk,"Foo Fighters (David Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett, Pat Smear), artist."
2011,Best Hard Rock/Metal Performance,White Limo,"Foo Fighters (David Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett, Pat Smear), artist."
2011,Best Rock Song,Walk,"Chris Shiflett, David Grohl, Nate Mendel, Pat Smear & Taylor Hawkins, songwriters. (Foo Fighters)"
2011,Best Rock Album,Wasting Light,"Foo Fighters (David Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett, Pat Smear), artist. Alan Moulder & James Brown, engineers/mixers. Butch Vig, producer."
2011,Best Alternative Music Album,Bon Iver,"Bon Iver (CJ Camerieri, Sean Carey, Mike Lewis, Matt McCaughan, Rob Moose, Mike Noyce, Colin Stetson, Justin Vernon), artist. Brian Joseph, engineer/mixer."
